,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
16,2021-03-17,78,55,20,53,45.0,123,PM25,TIDAK SEHAT,DKI4,123.0,
17,2021-03-18,78,45,16,74,40.0,125,PM25,TIDAK SEHAT,DKI4,125.0,
18,2021-03-19,73,42,14,59,35.0,96,PM25,SEDANG,DKI5,96.0,
19,2021-03-20,65,44,16,56,31.0,106,PM25,TIDAK SEHAT,DKI3,106.0,
20,2021-03-21,81,41,16,51,17.0,118,PM25,TIDAK SEHAT,DKI3,118.0,
21,2021-03-22,62,41,15,43,18.0,93,PM25,SEDANG,DKI3,93.0,
22,2021-03-23,51,41,11,44,16.0,77,PM25,SEDANG,DKI3,77.0,
23,2021-03-24,43,40,11,37,15.0,64,PM25,SEDANG,DKI3,64.0,
24,2021-03-25,38,41,9,41,17.0,68,PM25,SEDANG,DKI4,68.0,
25,2021-03-26,57,42,19,53,28.0,83,PM25,SEDANG,DKI4,83.0,
26,2021-03-27,62,49,13,63,33.0,91,PM25,SEDANG,DKI4,91.0,
27,2021-03-28,57,43,15,71,31.0,78,PM25,SEDANG,DKI5,78.0,
28,2021-03-29,65,48,19,67,37.0,91,PM25,SEDANG,DKI5,91.0,
29,2021-03-30,59,42,15,55,30.0,76,PM25,SEDANG,DKI4,76.0,
30,2021-03-31,56,43,18,48,25.0,69,PM25,SEDANG,DKI4,69.0,
0,2021-04-01,28,41,11,43,19.0,52,PM25,SEDANG,DKI3,52.0,
1,2021-04-02,51,44,11,42,19.0,70,PM25,SEDANG,DKI3,70.0,
2,2021-04-03,39,42,9,57,22.0,67,PM25,SEDANG,DKI4,67.0,
3,2021-04-04,68,43,30,49,37.0,103,PM25,TIDAK SEHAT,DKI3,103.0,
4,2021-04-05,61,43,15,59,28.0,85,PM25,SEDANG,DKI3,85.0,
5,2021-04-06,43,43,10,36,18.0,61,PM25,SEDANG,DKI2,61.0,
6,2021-04-07,30,42,11,43,19.0,52,PM25,SEDANG,DKI2,52.0,
7,2021-04-08,39,51,12,40,22.0,57,PM25,SEDANG,DKI2,57.0,
8,2021-04-09,55,43,14,49,28.0,77,PM25,SEDANG,DKI5,77.0,
9,2021-04-10,64,43,16,50,29.0,101,PM25,TIDAK SEHAT,DKI3,101.0,
10,2021-04-11,66,50,18,60,31.0,108,PM25,TIDAK SEHAT,DKI4,108.0,
11,2021-04-12,69,51,20,54,31.0,93,PM25,SEDANG,DKI2,93.0,
12,2021-04-13,70,63,18,64,40.0,82,PM25,SEDANG,DKI2,82.0,
13,2021-04-14,65,55,16,65,32.0,81,PM25,SEDANG,DKI2,81.0,
14,2021-04-15,67,55,27,50,42.0,88,PM25,SEDANG,DKI5,88.0,
15,2021-04-16,69,55,20,50,44.0,94,PM25,SEDANG,DKI2,94.0,
16,2021-04-17,67,43,20,39,41.0,118,PM25,TIDAK SEHAT,DKI5,118.0,
17,2021-04-18,57,42,16,32,26.0,93,PM25,SEDANG,DKI5,93.0,
18,2021-04-19,63,52,14,41,30.0,108,PM25,TIDAK SEHAT,DKI5,108.0,
19,2021-04-20,64,52,12,55,30.0,94,PM25,SEDANG,DKI2,94.0,
20,2021-04-21,76,56,19,50,37.0,105,PM25,TIDAK SEHAT,DKI5,105.0,
21,2021-04-22,63,52,14,60,40.0,99,PM25,SEDANG,DKI4,99.0,
22,2021-04-23,75,51,16,65,42.0,112,PM25,TIDAK SEHAT,DKI4,112.0,
23,2021-04-24,88,61,18,73,40.0,115,PM25,TIDAK SEHAT,DKI2,115.0,
24,2021-04-25,74,55,17,58,36.0,116,PM25,TIDAK SEHAT,DKI4,116.0,
25,2021-04-26,64,52,11,59,24.0,117,PM25,TIDAK SEHAT,DKI4,117.0,
26,2021-04-27,75,51,12,65,28.0,138,PM25,TIDAK SEHAT,DKI4,138.0,
27,2021-04-28,61,51,15,56,34.0,94,PM25,SEDANG,DKI4,94.0,
28,2021-04-29,69,60,17,44,38.0,85,PM25,SEDANG,DKI2,85.0,
29,2021-04-30,71,57,18,55,42.0,91,PM25,SEDANG,DKI2,91.0,
0,2021-06-01,73,50,18,64,35.0,105,PM25,TIDAK SEHAT,DKI3,105.0,
1,2021-06-02,68,54,20,76,38.0,100,PM25,SEDANG,DKI4,100.0,
2,2021-06-03,68,57,20,61,41.0,93,PM25,SEDANG,DKI2,93.0,
3,2021-06-04,66,48,13,76,30.0,100,PM25,SEDANG,DKI4,100.0,
4,2021-06-05,64,51,20,65,38.0,93,PM25,SEDANG,DKI4,93.0,
5,2021-06-06,63,50,15,72,32.0,95,PM25,SEDANG,DKI3,95.0,
6,2021-06-07,61,52,15,68,31.0,86,PM25,SEDANG,DKI4,86.0,
7,2021-06-08,70,53,16,72,38.0,103,PM25,TIDAK SEHAT,DKI4,103.0,
8,2021-06-09,68,54,14,67,34.0,108,PM25,TIDAK SEHAT,DKI4,108.0,
9,2021-06-10,71,56,23,48,47.0,108,PM25,TIDAK SEHAT,DKI4,108.0,
10,2021-06-11,65,51,15,61,40.0,99,PM25,SEDANG,DKI4,99.0,
11,2021-06-12,67,54,17,57,35.0,93,PM25,SEDANG,DKI4,93.0,
12,2021-06-13,55,52,14,58,25.0,80,PM25,SEDANG,DKI4,80.0,
13,2021-06-14,69,53,13,58,26.0,103,PM25,TIDAK SEHAT,DKI4,103.0,
14,2021-06-15,73,52,13,44,29.0,114,PM25,TIDAK SEHAT,DKI3,114.0,
15,2021-06-16,67,66,25,43,55.0,97,PM25,SEDANG,DKI5,97.0,
16,2021-06-17,66,51,28,44,41.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
17,2021-06-18,77,59,23,49,45.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
18,2021-06-19,64,59,21,41,45.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
19,2021-06-20,81,66,26,44,58.0,140,PM25,TIDAK SEHAT,DKI4,140.0,
