,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
3,2021-11-04,63,52,17,63,47.0,95,PM25,SEDANG,DKI2,95.0,
4,2021-11-05,64,52,23,46,46.0,95,PM25,SEDANG,DKI4,95.0,
5,2021-11-06,57,52,13,52,40.0,86,PM25,SEDANG,DKI4,86.0,
6,2021-11-07,52,51,10,55,25.0,81,PM25,SEDANG,DKI4,81.0,
7,2021-11-08,53,52,20,39,41.0,73,PM25,SEDANG,DKI2,73.0,
8,2021-11-09,67,51,21,47,38.0,106,PM25,TIDAK SEHAT,DKI4,106.0,
9,2021-11-10,61,51,11,36,25.0,100,PM25,SEDANG,DKI4,100.0,
10,2021-11-11,47,51,12,36,32.0,71,PM25,SEDANG,DKI4,71.0,
11,2021-11-12,44,47,10,38,19.0,63,PM25,SEDANG,DKI4,63.0,
12,2021-11-13,52,47,16,52,40.0,82,PM25,SEDANG,DKI4,82.0,
13,2021-11-14,50,47,13,46,34.0,68,PM25,SEDANG,DKI4,68.0,
14,2021-11-15,36,47,9,36,17.0,58,PM25,SEDANG,DKI4,58.0,
15,2021-11-16,53,47,11,41,14.0,82,PM25,SEDANG,DKI3,82.0,
16,2021-11-17,60,50,13,45,35.0,99,PM25,SEDANG,DKI4,99.0,
17,2021-11-18,63,43,18,56,35.0,106,PM25,TIDAK SEHAT,DKI4,106.0,
18,2021-11-19,32,41,7,42,12.0,45,PM25,BAIK,DKI2,45.0,
19,2021-11-20,37,43,8,41,17.0,58,PM25,SEDANG,DKI4,58.0,
20,2021-11-21,52,41,19,45,44.0,76,PM25,SEDANG,DKI3,76.0,
21,2021-11-22,29,42,7,41,12.0,45,PM25,BAIK,DKI4,45.0,
22,2021-11-23,25,41,7,41,9.0,55,PM25,SEDANG,DKI2,55.0,
23,2021-11-24,35,42,8,37,12.0,59,PM25,SEDANG,DKI4,59.0,
24,2021-11-25,63,42,12,40,21.0,83,PM25,SEDANG,DKI3,83.0,
25,2021-11-26,58,41,17,39,31.0,78,PM25,SEDANG,DKI4,78.0,
26,2021-11-27,37,41,10,45,22.0,56,PM25,SEDANG,DKI4,56.0,
27,2021-11-28,19,41,7,47,10.0,47,O3,BAIK,DKI2,33.0,
28,2021-11-29,29,42,8,42,12.0,55,PM25,SEDANG,DKI4,55.0,
29,2021-11-30,46,43,10,44,17.0,66,PM25,SEDANG,DKI4,66.0,
0,2021-12-01,63,43,13,41,30.0,100,PM25,SEDANG,DKI4,100.0,
1,2021-12-02,35,42,7,40,14.0,56,PM25,SEDANG,DKI4,56.0,
2,2021-12-03,54,43,9,48,17.0,71,PM25,SEDANG,DKI4,71.0,
3,2021-12-04,50,45,13,43,16.0,65,PM25,SEDANG,DKI3,65.0,
4,2021-12-05,53,44,17,39,29.0,80,PM25,SEDANG,DKI4,80.0,
5,2021-12-06,62,55,23,45,57.0,91,PM25,SEDANG,DKI3,91.0,
6,2021-12-07,179,44,12,43,21.0,179,PM10,TIDAK SEHAT,DKI4,58.0,
7,2021-12-08,49,45,17,51,30.0,76,PM25,SEDANG,DKI4,76.0,
8,2021-12-09,46,46,11,51,20.0,63,PM25,SEDANG,DKI4,63.0,
9,2021-12-10,51,47,14,41,30.0,73,PM25,SEDANG,DKI4,73.0,
10,2021-12-11,38,45,8,51,22.0,60,PM25,SEDANG,DKI4,60.0,
11,2021-12-12,49,43,17,42,34.0,63,PM25,SEDANG,DKI3,63.0,
12,2021-12-13,53,44,11,34,23.0,68,PM25,SEDANG,DKI3,68.0,
13,2021-12-14,51,46,15,37,26.0,76,PM25,SEDANG,DKI4,76.0,
14,2021-12-15,69,44,19,50,30.0,124,PM25,TIDAK SEHAT,DKI4,124.0,
15,2021-12-16,78,43,20,34,36.0,136,PM25,TIDAK SEHAT,DKI4,136.0,
16,2021-12-17,58,43,18,57,35.0,81,PM25,SEDANG,DKI4,81.0,
17,2021-12-18,51,42,18,54,32.0,69,PM25,SEDANG,DKI4,69.0,
18,2021-12-19,65,41,24,78,45.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
19,2021-12-20,57,42,13,58,20.0,86,PM25,SEDANG,DKI4,86.0,
20,2021-12-21,62,42,19,39,49.0,74,PM25,SEDANG,DKI1,74.0,
21,2021-12-22,65,56,28,54,65.0,98,PM25,SEDANG,DKI4,98.0,
22,2021-12-23,70,57,19,44,44.0,99,PM25,SEDANG,DKI2,99.0,
23,2021-12-24,36,53,15,36,52.0,65,PM25,SEDANG,DKI4,65.0,
24,2021-12-25,56,56,23,35,62.0,85,PM25,SEDANG,DKI4,85.0,
25,2021-12-26,44,51,15,37,34.0,71,PM25,SEDANG,DKI4,71.0,
26,2021-12-27,75,61,23,40,47.0,121,PM25,TIDAK SEHAT,DKI4,121.0,
27,2021-12-28,59,53,16,34,33.0,89,PM25,SEDANG,DKI4,89.0,
28,2021-12-29,61,54,15,37,29.0,98,PM25,SEDANG,DKI4,98.0,
29,2021-12-30,60,53,17,38,44.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
30,2021-12-31,64,52,44,37,53.0,90,PM25,SEDANG,DKI4,90.0,
